id,codigo,nombre,cantonId
496,6710,ISIDRO AYORA,89
497,6440,LOMAS DE SARGENTILLO,90
498,920,CHOBO,91
499,2390,MARISCAL SUCRE/HUAQUES,91
500,5660,MILAGRO,91
501,3235,ROBERTO ASTUDILLO,91
502,1830,JESUS MARIA,92
503,5675,NARANJAL,92
504,3370,SAN CARLOS,92
505,3740,SANTA ROSA DE FLANDES,92
506,3990,TAURA,92
507,5705,NARANJITO,93
508,6460,NARCISA DE JESUS,94
509,5725,PALESTINA,95
510,5735,PEDRO CARBO,96
511,1670,SABANILLA,96
512,185,VALLE DE LA VIRGEN,96
513,5120,BOCANA,97
514,5155,CANDILEJOS,97
515,1350,GRAL. VERNAZA,97
516,1595,JUNQUILLAL,97
517,5765,PARAISO,97
518,5200,SALITRE,97
519,5990,SAN MATEO,97
520,4220,VICTORIA,97
521,6580,SANTA LUCIA,98
522,660,CRNEL. LORENZO GARAICOA,99
523,6385,SIMON BOLIVAR,99
524,1340,GRAL.PEDRO MONTERO,100
525,1915,VIRGEN DE FATIMA,100
526,6285,YAGUACHI NUEVO,100
527,4275,YAGUACHI VIEJO/CONE,100
528,5025,ANDRADE MARIN/LOURDES,101
529,5050,ATUNTAQUI,101
530,1715,IMBAYA,101
531,3400,SAN FCO.DE NATABUELA,101
532,3465,SAN JOSE DE CHALTURA,101
533,3640,SAN ROQUE,101
534,3800,6 DE JULIO DE CUELLAJE,102
535,145,APUELA,102
536,1310,GARCIA MORENO / LLURIMAGUA,102
537,1710,IMANTAG,102
538,2820,PEÑAHERRERA,102
539,2915,PLAZA GUTIERREZ/CALVARIO,102
540,3115,QUIROGA,102
541,5910,SAGRARIO,102
542,5955,SAN FRANCISCO,102
543,4185,VACAS GALINDO,102
544,100,AMBUQUI/CHOTA,103
545,130,ANGOCHAGUA,103
546,5165,CARANQUI,103
547,530,CAROLINA /GUALLUPI,103
548,5440,GUAYAQUIL DE ALPACHACA,103
549,6780,LA DOLOROSA DEL PRIORATO,103
550,2020,LA ESPERANZA,103
551,2185,LITA,103
552,5915,SAGRARIO,103
553,3290,SALINAS,103
554,3315,SAN ANTONIO,103
555,5960,SAN FRANCISCO,103
556,1040,DR MIGUEL EGAS/PEGUCHE,104
557,1215,EUGENIO ESPEJO,104
558,1360,GONZALEZ SUAREZ,104
559,5490,JORDAN,104
560,2785,PATAQUI,104
561,3490,SAN JOSE DE QUICHINCHE,104
562,3525,SAN JUAN DE ILUMAN,104
563,5980,SAN LUIS,104
564,3590,SAN PABLO,104
565,3630,SAN RAFAEL,104
566,3810,SELVA ALEGRE,104
567,955,CHUGA,105
568,2380,MARIANO ACOSTA,105
569,5750,PIMAMPIRO,105
570,3415,SAN FRANCISCO DE SIGSIPAMBA,105
571,425,CAHUASQUI,106
572,2060,LA MERCED DE BUENOS AIRES,106
573,2675,PABLO ARENAS,106
574,3365,SAN BLAS,106
575,4080,TUMBABIRO,106
576,6190,URCUQUI,106
577,5175,CARIAMANGA,107
578,5240,CHILE,107
579,590,COLAIZACA,107
580,1230,EL LUCERO,107
581,6025,SAN VICENTE,107
582,1550,SANGUILLIN,107
583,4150,UTUANA,107
584,5270,CATAMAYO,108
585,1200,EL TAMBO,108
586,1480,GUAYQUICHUMA,108
587,6825,SAN JOSE,108
588,3610,SAN PEDRO DE LA BENDITA,108
589,4455,ZAMBI,108
590,5195,CELICA,109
591,695,CRUZPAMBA/BUSTAMANTE,109
592,3255,SABANILLA,109
593,3535,SAN JUAN DE POZUL,109
