id,codigo,nombre,parroquiaId
321,2,VOLUNTAD DE DIOS,152
322,1,MANUEL J. CALLE,153
323,2,SAN ISIDRO,153
324,2,LA PUNTILLA,154
325,1,PANCHO NEGRO,154
326,0,SIN ZONA,155
327,2,ALOOR,156
328,1,BOLIVAR,156
329,3,CUESACA,156
330,2,EL TAMBO,157
331,1,GARCIA MORENO,157
332,3,CUNQUER,158
333,1,LOS ANDES,158
334,2,PIQUIUCHO,158
335,3,EL MOTILON,159
336,1,MONTEOLIVO,159
337,2,PUEBLO NUEVO,159
338,2,CALDERA,160
339,1,SAN RAFAEL,160
340,2,PUSIR GRANDE,161
341,1,SAN VICENTE DE PUSIR,161
342,3,TUMBATÃš,161
343,0,SIN ZONA,162
344,1,EL ANGEL,163
345,2,INGUEZA,163
346,2,CORAZON DE MUNDO NUEVO,164
347,1,EL GOALTAL / LAS JUNTAS,164
348,0,SIN ZONA,165
349,0,SIN ZONA,166
350,1,JIJON Y CAAMAÃ‘O,167
351,2,RIO VERDE,167
352,1,JUAN MONTALVO,168
353,2,SANTIAGUILLO,168
354,1,LA CONCEPCION,169
355,4,NARANJITO,169
356,2,PALO BLANCO,169
357,3,SANTA LUCIA,169
358,3,HATO DE MIRA,170
359,2,MASCARILLA,170
360,1,MIRA,170
361,0,SIN ZONA,171
362,0,SIN ZONA,172
363,1,FERNANDEZ SALVADOR,173
364,2,SAN FRANCISCO DE LA LINEA ROJA,173
365,0,SIN ZONA,174
366,0,SIN ZONA,175
367,0,SIN ZONA,176
368,3,CANCHAGUANO,177
369,2,EL CAPULÃ,177
370,1,SAN JOSE,177
371,2,CUASPUD,178
372,1,HUACA,178
373,0,SIN ZONA,179
374,0,SIN ZONA,180
375,1,EL CHICAL,181
376,2,SAN MARCOS,181
377,2,CHAPUEL,182
378,61,CPL CARCHI N.  1,182
379,3,EL BOSQUE,182
380,1,GONZALEZ SUAREZ,182
381,89,VOTO EN CASA,182
382,0,SIN ZONA,183
383,2,CHILMA ALTO,184
384,1,MALDONADO,184
385,0,SIN ZONA,185
386,0,SIN ZONA,186
387,2,EL BABOSO,187
388,1,TOBAR DONOSO,187
389,0,SIN ZONA,188
390,2,LA ESTRELLITA,189
391,3,LAS GRADAS,189
989,0,SIN ZONA,466
392,1,TULCAN,189
393,0,SIN ZONA,190
394,0,SIN ZONA,191
395,2,CHIPE HAMBURGO 1,192
396,3,CHIPE HAMBURGO 2,192
397,1,EL TRIUNFO,192
398,4,ESTERO HONDO,192
399,1,GUASAGANDA,193
400,3,MALQUI,193
401,2,QUINDIGUA,193
402,0,SIN ZONA,194
403,0,SIN ZONA,195
404,0,SIN ZONA,196
405,0,SIN ZONA,197
406,0,SIN ZONA,198
407,0,SIN ZONA,199
408,61,CPL COTOPAXI N.  1,200
409,0,SIN ZONA,200
410,1,IGNACIO FLORES,201
411,2,PALOPO CENTRO,201
412,0,SIN ZONA,202
413,0,SIN ZONA,203
414,0,SIN ZONA,204
415,89,VOTO EN CASA,204
416,0,SIN ZONA,205
417,0,SIN ZONA,206
418,0,SIN ZONA,207
419,2,LA LIBERTAD,208
420,1,SAN JUAN DE PASTOCALLE,208
421,0,SIN ZONA,209
422,0,SIN ZONA,210
423,1,EL CORAZON,211
424,2,QUISHPE,211
425,5,CALABICITO,212
426,4,EL DESEO,212
427,2,GUAPARA,212
428,1,MORASPUNGO,212
429,3,PIEDACITA,212
430,0,SIN ZONA,213
431,2,PILANCÃ“N,214
432,1,RAMON CAMPAÃ‘A,214
433,1,ANGAMARCA,215
434,2,CHINE ALTO,215
435,3,MOCATA,215
436,4,PIGUA-QUINDIGUA,215
437,1,GUANGAJE,216
438,2,YAGUARTOA,216
439,0,SIN ZONA,217
440,2,APAGUA,218
441,1,PILALO,218
442,2,JUIGUA YACYBAMBA,219
443,1,PUJILI,219
444,2,EL PROGRESO,220
445,3,PUEMBO,220
446,1,TINGO,220
447,2,LA COCHA,221
448,3,TIGUA WANAPAMPA,221
449,1,ZUMBAHUA,221
450,0,SIN ZONA,222
451,0,SIN ZONA,223
452,0,SIN ZONA,224
453,0,SIN ZONA,225
454,0,SIN ZONA,226
455,2,CHAMBAPONGO,227
456,4,SALACHE BARBAPAMBA,227
457,3,SAN FRANCISCO DE COLLANAS,227
458,1,SAN MIGUEL DE SALCEDO,227
459,0,SIN ZONA,228
460,0,SIN ZONA,229
461,1,COCHAPAMBA,230
462,2,YANAHURCO GRANDE,230
463,0,SIN ZONA,231
464,1,CHUGCHILAN,232
465,4,GUAYAMA SAN PEDRO QUILOTOA,232
466,7,SAN MIGUEL DE GUARUMAL,232
467,6,SAN MIGUEL DE PILAPUCHIN,232
468,5,SARAWASI,232
469,2,GUANTOALO,233
470,1,ISINLIVI,233
471,0,SIN ZONA,234
472,0,SIN ZONA,235
473,2,SALINAS DE MONTE NUEVO,236
474,1,SIGCHOS,236
475,1,ACHUPALLAS,237
476,3,JUVAL,237
477,2,TOTORAS,237
478,1,ALAUSI,238
479,61,CPL CHIMBORAZO N.  2,238
480,2,NIZAG,238
481,0,SIN ZONA,239
482,0,SIN ZONA,240
483,0,SIN ZONA,241
484,0,SIN ZONA,242
485,0,SIN ZONA,243
486,0,SIN ZONA,244
487,0,SIN ZONA,245
488,2,COCANES,246
489,1,TIXAN,246
490,1,CHAMBO,247
491,3,GUAYLLABAMBA,247
492,2,PANTAÃ‘O,247
493,0,SIN ZONA,248
494,0,SIN ZONA,249
495,0,SIN ZONA,250
496,0,SIN ZONA,251
1198,0,SIN ZONA,582
497,2,JOYAGSHI,252
498,1,LLAGOS,252
499,0,SIN ZONA,253
500,0,SIN ZONA,254
501,1,COLUMBE,255
502,3,LLINLLIN,255
503,2,PULUCATES,255
504,4,SAN GUISEL ALTO,255
505,1,JUAN DE VELASCO,256
506,2,TAMBILLO BAJO,256
507,0,SIN ZONA,257
508,0,SIN ZONA,258
509,1,CUMANDA,259
510,3,SUNCAMAL,259
511,1,CEBADAS,260
512,2,TRANCA SAN LUIS,260
513,1,GUAMOTE,261
514,3,JATUN PAMBA,261
515,4,LAIME SAN CARLOS,261
516,2,PULL CHICO,261
517,5,TIOCAJAS PALACIO HUATANA,261
518,3,GALTES,262
519,1,PALMIRA,262
520,2,TIPIN,262
521,0,SIN ZONA,263
522,0,SIN ZONA,264
523,0,SIN ZONA,265
524,1,LA MATRIZ,266
525,3,LANGOS PANAMERICANA,266
526,2,PUNGAL GRANDE,266
527,0,SIN ZONA,267
528,2,CALSHI,268
529,1,SAN ANDRES,268
530,0,SIN ZONA,269
531,2,CHOCAVI,270
532,1,SAN ISIDRO DE PATULU,270
533,0,SIN ZONA,271
534,0,SIN ZONA,272
535,0,SIN ZONA,273
536,2,LAS ROSAS,274
537,1,PALLATANGA,274
538,3,RODEO VAQUERIA,274
539,0,SIN ZONA,275
540,1,EL ALTAR,276
541,2,UTUÃ‘AG,276
542,0,SIN ZONA,277
543,0,SIN ZONA,278
544,0,SIN ZONA,279
545,0,SIN ZONA,280
546,0,SIN ZONA,281
547,0,SIN ZONA,282
548,1,CALPI,283
549,2,NITILUISA,283
550,0,SIN ZONA,284
551,1,FLORES,285
552,2,GUANTUL GRANDE,285
553,3,NAUBUG,285
554,0,SIN ZONA,286
555,1,LICTO,287
556,2,TUNSHI SAN NICOLAS,287
557,0,SIN ZONA,288
558,89,VOTO EN CASA,288
559,0,SIN ZONA,289
560,2,ALAO,290
561,3,ASHPAPUNGO,290
562,1,PUNGALA,290
563,1,PUNIN,291
564,2,TZALARON,291
565,2,PIÃ‘AÃ‘AU,292
566,3,PUCULPALA,292
567,1,QUIMIAG,292
568,0,SIN ZONA,293
569,2,SAN ANTONIO DE GUASLAN,294
570,1,SAN LUIS,294
571,0,SIN ZONA,295
572,89,VOTO EN CASA,295
573,63,CAI MASCULINO - RIOBAMBA,296
574,61,CPL CHIMBORAZO N.  1,296
575,62,CPL CHIMBORAZO N.  3,296
576,0,SIN ZONA,296
577,0,SIN ZONA,297
578,0,SIN ZONA,298
579,0,SIN ZONA,299
580,0,SIN ZONA,300
581,1,LA CUCA,301
582,2,LOS GUAYACANES,301
583,2,MANABI DE EL ORO,302
584,1,PALMALES,302
585,0,SIN ZONA,303
