id,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,cand_9,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,total_suf,blanco,nulo,juntaId
28160,82,2,14,8,0,42,2,2,19,0,1,62,2,2,0,3,275,7,27,38618
28170,70,0,18,3,0,37,4,1,43,0,2,58,3,7,0,6,308,15,41,38619
28179,88,2,9,8,0,43,5,0,31,1,1,52,1,1,1,8,288,8,29,38620
28189,73,2,8,3,0,43,7,2,33,2,0,69,3,3,1,5,299,7,38,38621
28199,87,2,11,8,0,29,2,1,37,2,1,65,2,2,0,3,288,11,25,38622
28209,77,2,6,8,1,41,5,0,22,1,0,69,4,8,2,4,282,6,25,38623
28220,85,2,13,10,3,34,1,1,22,0,1,46,3,3,0,11,273,10,28,38624
28228,100,2,22,4,1,40,1,0,23,2,1,54,4,0,1,9,316,13,39,38625
28236,91,1,8,9,0,32,1,0,35,1,2,61,0,3,2,8,286,8,24,38626
28245,99,2,10,6,0,46,3,0,38,1,0,55,0,6,0,11,319,16,26,38627
28255,86,5,8,12,1,45,2,1,29,0,0,75,1,2,1,6,301,7,20,38628
28264,75,0,10,2,0,56,4,0,40,0,0,62,3,5,0,2,291,3,29,38629
28274,74,7,12,4,0,49,2,0,24,0,1,71,1,5,0,3,287,10,24,38630
28283,78,2,19,6,0,51,4,0,39,0,0,41,5,3,0,7,296,10,32,38631
28292,102,0,10,10,0,32,6,4,44,2,0,52,0,7,1,7,301,7,17,38632
28302,9,2,7,0,1,9,1,0,2,1,0,15,0,2,0,1,52,0,2,38633
28310,97,3,10,9,0,20,1,0,34,3,1,48,2,4,2,7,310,25,44,38634
28319,112,3,7,9,0,32,2,0,29,0,0,55,1,1,1,9,296,14,21,38635
28329,79,0,12,6,0,36,2,2,23,2,1,69,1,4,0,5,262,6,14,38636
28339,99,1,11,11,0,31,7,1,41,1,1,51,3,0,0,5,295,8,23,38637
28349,31,1,12,2,0,12,1,0,12,0,0,20,1,0,0,2,105,6,5,38638
28358,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,38639
28367,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38640
28376,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,38641
28386,135,3,12,3,2,30,3,2,31,1,1,35,3,3,0,14,325,14,33,38642
28395,115,4,7,6,2,20,1,1,24,1,1,47,2,2,1,11,279,16,18,38643
28403,125,1,13,3,2,24,4,1,33,4,0,41,2,3,0,12,321,17,36,38644
28411,105,3,5,8,2,11,1,1,18,1,1,27,3,3,2,4,218,7,16,38645
28420,127,1,13,2,0,30,2,2,32,0,0,38,6,4,1,10,321,23,30,38646
28431,111,1,11,17,3,21,0,1,29,1,0,39,2,1,1,8,271,17,8,38647
