"parroquiaId","codigo","nombre","no_pobres","pobres","total"
"464","90153","MORRO",783,4190,4973
"466","90156","POSORJA",6477,17508,23985
"467","90157","PUNA",192,6537,6729
"472","90158","TENGUEL",2064,9706,11770
"478","90250","ALFREDO BAQUERIZO MORENO",2605,22502,25107
"479","90350","BALAO",3032,17294,20326
"480","90450","BALZAR",5017,48734,53751
"481","90550","COLIMES",1612,15639,17251
"482","90551","SAN JACINTO",78,6028,6106
"484","90650","DAULE",28979,57827,86806
"486","90652","JUAN BAUTISTA AGUIRRE",0,5502,5502
"485","90653","LAUREL",613,9251,9864
"489","90654","LIMONAL",234,8534,8768
"488","90656","LOS LOJAS",23,8637,8660
"456","90750","ELOY ALFARO (DURAN)",75256,158588,233844
"493","90850","VELASCO IBARRA",5825,41570,47395
"492","90851","GUAYAS (PUEBLO NUEVO)",408,17086,17494
"491","90852","EL ROSARIO",317,8886,9203
"494","90950","EL TRIUNFO",8135,36396,44531
"500","91050","MILAGRO",47393,96620,144013
"498","91051","CHOBO",769,4643,5412
"499","91053","MARISCAL SUCRE (HUAQUES)",93,5266,5359
"501","91054","ROBERTO ASTUDILLO",272,10543,10815
"503","91150","NARANJAL",13526,25827,39353
"502","91151","JESUS MARIA",823,5571,6394
"504","91152","SAN CARLOS",1030,5460,6490
"505","91153","SANTA ROSA DE FLANDES",569,4817,5386
"506","91154","TAURA",361,9738,10099
"507","91250","NARANJITO",11515,25426,36941
"509","91350","PALESTINA",2770,13229,15999
"510","91450","PEDRO CARBO",2383,28849,31232
"512","91451","VALLE DE LA VIRGEN",34,5183,5217
"511","91452","SABANILLA",106,6783,6889
"476","91650","SAMBORONDON",31476,19886,51362
"477","91651","TARIFA",918,15022,15940
"521","91850","SANTA LUCIA",3218,35620,38838
"518","91950","EL SALITRE (LAS RAMAS)",2762,25289,28051
"515","91951","GENERAL VERNAZA",92,9406,9498
"520","91952","LA VICTORIA (ÑAUZA)",169,6292,6461
"516","91953","JUNQUILLAL",271,13030,13301
"526","92050","YAGUACHI NUEVO",7018,19396,26414
"524","92053","GRAL. PEDRO J. MONTERO",861,7331,8192
"527","92055","YAGUACHI VIEJO (CONE)",455,11493,11948
"525","92056","VIRGEN DE FATIMA",2922,11016,13938
"474","92150","GENERAL VILLAMIL",13027,28564,41591
"523","92250","SIMON BOLIVAR",1729,12800,14529
"522","92251","CRNEL.LORENZO DE GARAICOA",725,10160,10885
"483","92350","CORONEL MARCELINO MARIDUEÑA",2856,9056,11912
"497","92450","LOMAS DE SARGENTILLO",2116,16204,18320
"508","92550","NARCISA DE JESUS",4949,14556,19505
"495","92750","GENERAL ANTONIO ELIZALDE",3323,7280,10603
"496","92850","ISIDRO AYORA",599,10253,10852
"544","100151","AMBUQUI",797,4654,5451
"545","100152","ANGOCHAGUA",255,3004,3259
"547","100153","CAROLINA",111,2620,2731
"550","100154","LA ESPERANZA",1488,5604,7092
"551","100155","LITA",332,3006,3338
"553","100156","SALINAS",812,924,1736
"554","100157","SAN ANTONIO",9142,8296,17438
"529","100250","ATUNTAQUI",13620,9620,23240
"530","100251","IMBAYA",136,1140,1276
"555","100252","SAN FRANCISCO DE NATABUE",2798,2842,5640
"532","100253","SAN JOSE DE CHALTURA",1194,1901,3095
"533","100254","SAN ROQUE",2575,7500,10075
"535","100351","APUELA",217,1604,1821
"461","100352","GARCIA MORENO",218,4827,5045
"537","100353","IMANTAG",297,4631,4928
